"image_id","reference_name","reference_path","width","height","source_tif","frame_index"
"45min_after_washout_frame_013","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\45min after washout_frame_013_mCherry_projected.png","256","256","20240724_image processing project\45min after washout_mCherry_center.tif","13"
"45min_after_washout_frame_014","Trans","result_pic\from_source_tifs\references\Trans\45min after washout_frame_014_Trans.png","256","256","20240724_image processing project\45min after washout Trans_center.tif","14"
"45min_after_washout_frame_014","GFP projected","result_pic\from_source_tifs\references\GFP_projected\45min after washout_frame_014_GFP_projected.png","256","256","20240724_image processing project\45min after washout GFP_center.tif","14"
"45min_after_washout_frame_014","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\45min after washout_frame_014_mCherry_projected.png","256","256","20240724_image processing project\45min after washout_mCherry_center.tif","14"
"45min_after_washout_frame_015","Trans","result_pic\from_source_tifs\references\Trans\45min after washout_frame_015_Trans.png","256","256","20240724_image processing project\45min after washout Trans_center.tif","15"
"45min_after_washout_frame_015","GFP projected","result_pic\from_source_tifs\references\GFP_projected\45min after washout_frame_015_GFP_projected.png","256","256","20240724_image processing project\45min after washout GFP_center.tif","15"
"45min_after_washout_frame_015","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\45min after washout_frame_015_mCherry_projected.png","256","256","20240724_image processing project\45min after washout_mCherry_center.tif","15"
"45min_after_washout_frame_016","Trans","result_pic\from_source_tifs\references\Trans\45min after washout_frame_016_Trans.png","256","256","20240724_image processing project\45min after washout Trans_center.tif","16"
"45min_after_washout_frame_016","GFP projected","result_pic\from_source_tifs\references\GFP_projected\45min after washout_frame_016_GFP_projected.png","256","256","20240724_image processing project\45min after washout GFP_center.tif","16"
"45min_after_washout_frame_016","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\45min after washout_frame_016_mCherry_projected.png","256","256","20240724_image processing project\45min after washout_mCherry_center.tif","16"
"45min_after_washout_frame_017","Trans","result_pic\from_source_tifs\references\Trans\45min after washout_frame_017_Trans.png","256","256","20240724_image processing project\45min after washout Trans_center.tif","17"
"45min_after_washout_frame_017","GFP projected","result_pic\from_source_tifs\references\GFP_projected\45min after washout_frame_017_GFP_projected.png","256","256","20240724_image processing project\45min after washout GFP_center.tif","17"
"45min_after_washout_frame_017","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\45min after washout_frame_017_mCherry_projected.png","256","256","20240724_image processing project\45min after washout_mCherry_center.tif","17"
"45min_after_washout_frame_018","Trans","result_pic\from_source_tifs\references\Trans\45min after washout_frame_018_Trans.png","256","256","20240724_image processing project\45min after washout Trans_center.tif","18"
"45min_after_washout_frame_018","GFP projected","result_pic\from_source_tifs\references\GFP_projected\45min after washout_frame_018_GFP_projected.png","256","256","20240724_image processing project\45min after washout GFP_center.tif","18"
"45min_after_washout_frame_018","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\45min after washout_frame_018_mCherry_projected.png","256","256","20240724_image processing project\45min after washout_mCherry_center.tif","18"
"45min_after_washout_frame_019","Trans","result_pic\from_source_tifs\references\Trans\45min after washout_frame_019_Trans.png","256","256","20240724_image processing project\45min after washout Trans_center.tif","19"
"45min_after_washout_frame_019","GFP projected","result_pic\from_source_tifs\references\GFP_projected\45min after washout_frame_019_GFP_projected.png","256","256","20240724_image processing project\45min after washout GFP_center.tif","19"
"45min_after_washout_frame_019","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\45min after washout_frame_019_mCherry_projected.png","256","256","20240724_image processing project\45min after washout_mCherry_center.tif","19"
"60min_after_washout_frame_000","Trans","result_pic\from_source_tifs\references\Trans\60min after washout_frame_000_Trans.png","256","256","20240724_image processing project\60min after washout Trans_center.tif","0"
"60min_after_washout_frame_000","GFP projected","result_pic\from_source_tifs\references\GFP_projected\60min after washout_frame_000_GFP_projected.png","256","256","20240724_image processing project\60min after washout GFP_center.tif","0"
